 *tel  csi     Z    A     CsICh  errCsICh     CsIV         errCsIV             CsIE        errCsIE            ESi        errESi
    5    0    1    1      1264       0.5        1.18735      0.0118735          236.982        2.36982        1.23536      0.0123536
    5    0    1    1      1269       0.5        1.19253      0.0119253          238.219        2.38219        1.23156      0.0123156
    5    0    1    1      1274       0.5        1.19772      0.0119772          239.458        2.39458         1.2278       0.012278
    5    0    1    1      1279       0.5        1.20293      0.0120293          240.699        2.40699        1.22406      0.0122406
    5    0    1    1      1284       0.5        1.20817      0.0120817          241.943        2.41943        1.22036      0.0122036
    5    0    1    1      1289       0.5        1.21341      0.0121341           243.19         2.4319        1.21668      0.0121668
    5    0    1    1      1294       0.5        1.21867      0.0121867          244.439        2.44439        1.21303      0.0121303
    5    0    1    1      1299       0.5        1.22394      0.0122394          245.691        2.45691        1.20941      0.0120941
    5    0    1    1      1304       0.5        1.22922      0.0122922          246.946        2.46946        1.20582      0.0120582
    5    0    1    1      1309       0.5         1.2345       0.012345          248.203        2.48203        1.20226      0.0120226
    5    0    1    1      1314       0.5        1.23979      0.0123979          249.463        2.49463        1.19872      0.0119872
    5    0    1    1      1319       0.5        1.24508      0.0124508          250.726        2.50726        1.19521      0.0119521
    5    0    1    1      1324       0.5        1.25036      0.0125036          251.991        2.51991        1.19173      0.0119173
    5    0    1    1      1329       0.5        1.25564      0.0125564          253.259        2.53259        1.18827      0.0118827
    5    0    1    1      1334       0.5        1.26091      0.0126091           254.53         2.5453        1.18484      0.0118484
    5    0    1    1      1339       0.5        1.26616      0.0126616          255.803        2.55803        1.18144      0.0118144
    5    0    1    1      1344       0.5         1.2714       0.012714          257.079        2.57079        1.17806      0.0117806
    5    0    1    1      1349       0.5        1.27663      0.0127663          258.358        2.58358         1.1747       0.011747
    5    0    1    1      1354       0.5        1.28183      0.0128183           259.64         2.5964        1.17137      0.0117137
    5    0    1    1      1359       0.5        1.28701      0.0128701          260.925        2.60925        1.16807      0.0116807
    5    0    1    1      1364       0.5        1.29219      0.0129219          262.212        2.62212        1.16479      0.0116479
    5    0    1    1      1369       0.5        1.29737      0.0129737          263.502        2.63502        1.16153      0.0116153
    5    0    1    1      1374       0.5        1.30255      0.0130255          264.795        2.64795         1.1583       0.011583
    5    0    1    1      1379       0.5        1.30774      0.0130774           266.09         2.6609        1.15509      0.0115509
    5    0    1    1      1384       0.5        1.31294      0.0131294          267.389        2.67389        1.15191      0.0115191
    5    0    1    1      1389       0.5        1.31816      0.0131816           268.69         2.6869        1.14874      0.0114874
    5    0    1    1      1394       0.5        1.32342      0.0132342          269.994        2.69994         1.1456       0.011456
    5    0    1    1      1399       0.5         1.3287       0.013287          271.301        2.71301        1.14249      0.0114249
    5    0    1    1      1404       0.5        1.33402      0.0133402          272.611        2.72611        1.13939      0.0113939
    5    0    1    1      1409       0.5        1.33937      0.0133937          273.924        2.73924        1.13632      0.0113632
    5    0    1    1      1414       0.5        1.34474      0.0134474          275.239        2.75239        1.13327      0.0113327
    5    0    1    1      1419       0.5        1.35013      0.0135013          276.558        2.76558        1.13024      0.0113024
    5    0    1    1      1424       0.5        1.35554      0.0135554          277.879        2.77879        1.12723      0.0112723
    5    0    1    1      1429       0.5        1.36096      0.0136096          279.204        2.79204        1.12425      0.0112425
    5    0    1    1      1434       0.5        1.36639      0.0136639          280.531        2.80531        1.12128      0.0112128
    5    0    1    1      1439       0.5        1.37183      0.0137183          281.861        2.81861        1.11834      0.0111834
    5    0    1    1      1444       0.5        1.37726      0.0137726          283.195        2.83195        1.11541      0.0111541
    5    0    1    1      1449       0.5        1.38269      0.0138269          284.531        2.84531        1.11251      0.0111251
    5    0    1    2        84       0.5      0.0149278    0.000149278          4.34686      0.0434686        18.0712       0.180712
    5    0    1    2        89       0.5      0.0199709    0.000199709          5.03534      0.0503534        17.6081       0.176081
    5    0    1    2        94       0.5      0.0250537    0.000250537          5.71663      0.0571663        17.1688       0.171688
    5    0    1    2        99       0.5      0.0301564    0.000301564          6.39459      0.0639459        16.7497       0.167497
    5    0    1    2       104       0.5      0.0352464    0.000352464          7.07209      0.0707209        16.3479       0.163479
    5    0    1    2       109       0.5      0.0402838    0.000402838          7.75127      0.0775127        15.9615       0.159615
    5    0    1    2       114       0.5      0.0453225    0.000453225          8.43365      0.0843365         15.589        0.15589
    5    0    1    2       119       0.5      0.0504392    0.000504392          9.12032      0.0912032        15.2293       0.152293
    5    0    1    2       124       0.5      0.0554669    0.000554669          9.81201      0.0981201        14.8816       0.148816
    5    0    1    2       129       0.5      0.0603461    0.000603461          10.5092       0.105092        14.5452       0.145452
    5    0    1    2       134       0.5      0.0656076    0.000656076          11.2121       0.112121        14.2196       0.142196
    5    0    1    2       139       0.5      0.0712965    0.000712965           11.921        0.11921        13.9045       0.139045
    5    0    1    2       144       0.5      0.0765171    0.000765171          12.6357       0.126357        13.5993       0.135993
    5    0    1    2       149       0.5      0.0812893    0.000812893          13.3564       0.133564        13.3038       0.133038
    5    0    1    2       154       0.5      0.0861639    0.000861639          14.0829       0.140829        13.0177       0.130177
    5    0    1    2       159       0.5      0.0911461    0.000911461          14.8151       0.148151        12.7407       0.127407
    5    0    1    2       164       0.5      0.0960769    0.000960769          15.5527       0.155527        12.4726       0.124726
    5    0    1    2       169       0.5       0.100982     0.00100982          16.2957       0.162957         12.213        0.12213
    5    0    1    2       174       0.5       0.105909     0.00105909          17.0437       0.170437        11.9617       0.119617
    5    0    1    2       179       0.5       0.110859     0.00110859          17.7963       0.177963        11.7185       0.117185
    5    0    1    2       184       0.5       0.115827     0.00115827          18.5536       0.185536        11.4831       0.114831
